#all bins
0.05 1.4933565308600423
0.02 1.4933813759227976
0.01 1.4934069093528821
0.04 1.4933649757755867
0.03 1.4933814525764249
0.060000000000000005 1.4602424760579924
0.06999999999999999 1.4602388158523367
0.09999999999999999 1.460211016339722
0.09 1.460211210459857
0.08 1.4602392839144906
0.11 1.4932782450769615
0.16000000000000003 1.4933275973107334

#highest Mbin
0.060000000000000005 1.016452786354918
0.11 1.0163479104084407
0.16000000000000003 1.0165242119543316
0.01 1.0163511084567207

#lowest Mbin
0.11 2.0087319645684607
0.01 2.0088239700064974
0.16000000000000003 2.0087925901827988
0.060000000000000005 2.008763651236083
