#highest Mbin
0.04 1.1699463805149257
0.01 1.1700095795366763
0.02 1.1699587442756205
0.08 1.1698194072149977
0.05 1.1698862512658295
0.03 1.1699825889610946
0.06999999999999999 1.169923213712146
0.09 1.1698004269622428
0.060000000000000005 1.1699400785513299
0.13 1.1699718400189778
0.09999999999999999 1.169889831603971
0.12 1.1699119477403868
0.11 1.169958217756714
0.14 1.169935516353854
0.15000000000000002 1.169863611450925
0.16 1.1698397587720386
0.18000000000000002 1.169873452362085
0.17 1.169820586237166
0.19 1.1699350537673023
